Frame_ID,Timestamp,Class,Confidence,x1,y1,x2,y2
48,2026-01-05 11:15:57,car,0.6536058783531189,178,64,200,89
48,2026-01-05 11:15:57,car,0.6456101536750793,141,55,162,83
48,2026-01-05 11:15:57,car,0.6261147856712341,526,215,598,295
48,2026-01-05 11:15:57,train,0.5657306909561157,288,156,322,221
49,2026-01-05 11:15:57,car,0.7260867953300476,523,218,594,300
49,2026-01-05 11:15:57,car,0.6255375742912292,178,66,199,91
49,2026-01-05 11:15:57,car,0.6203790307044983,141,55,162,83
49,2026-01-05 11:15:57,train,0.6184163093566895,288,156,322,221
49,2026-01-05 11:15:57,train,0.5441157221794128,83,311,171,462
50,2026-01-05 11:15:57,train,0.8465454578399658,74,322,168,479
50,2026-01-05 11:15:57,car,0.7508907318115234,519,222,591,305
50,2026-01-05 11:15:57,car,0.7206901907920837,178,68,199,93
50,2026-01-05 11:15:57,car,0.6361997723579407,141,55,162,83
50,2026-01-05 11:15:57,train,0.5806822180747986,288,156,322,222
51,2026-01-05 11:15:57,car,0.6400469541549683,141,55,162,83
51,2026-01-05 11:15:57,car,0.63507479429245,516,227,588,310
51,2026-01-05 11:15:57,train,0.6322495341300964,70,333,162,480
51,2026-01-05 11:15:57,car,0.6046891212463379,178,70,199,95
52,2026-01-05 11:15:57,car,0.7828629016876221,177,72,200,98
52,2026-01-05 11:15:57,car,0.5904941558837891,141,55,162,83
53,2026-01-05 11:15:58,car,0.6937659978866577,508,232,581,320
53,2026-01-05 11:15:58,car,0.6845456957817078,177,74,199,99
53,2026-01-05 11:15:58,car,0.5984779596328735,141,55,162,83
53,2026-01-05 11:15:58,car,0.5072776079177856,302,240,350,336
54,2026-01-05 11:15:58,car,0.7473568916320801,504,236,578,325
54,2026-01-05 11:15:58,car,0.7205507159233093,177,76,199,101
54,2026-01-05 11:15:58,car,0.5474129319190979,141,55,162,83
55,2026-01-05 11:15:58,car,0.7835617065429688,176,78,199,104
55,2026-01-05 11:15:58,car,0.7779978513717651,500,240,575,333
55,2026-01-05 11:15:58,car,0.5582559108734131,141,55,162,83
56,2026-01-05 11:15:58,car,0.7643997073173523,497,245,572,337
56,2026-01-05 11:15:58,car,0.7274141311645508,174,81,198,106
56,2026-01-05 11:15:58,car,0.5780381560325623,141,55,162,83
57,2026-01-05 11:15:58,car,0.6947667598724365,174,82,199,109
57,2026-01-05 11:15:58,car,0.6544326543807983,493,248,568,343
57,2026-01-05 11:15:58,car,0.6153799295425415,141,55,162,83
58,2026-01-05 11:15:58,car,0.6971514225006104,490,252,565,349
58,2026-01-05 11:15:58,car,0.6623731851577759,141,55,162,83
58,2026-01-05 11:15:58,car,0.6252367496490479,175,83,199,111
58,2026-01-05 11:15:58,car,0.504838228225708,205,37,220,57
59,2026-01-05 11:15:58,car,0.7546349167823792,486,256,562,356
59,2026-01-05 11:15:58,car,0.6776193380355835,141,55,162,83
59,2026-01-05 11:15:58,car,0.60597825050354,174,84,199,113
59,2026-01-05 11:15:58,car,0.5531771183013916,302,245,352,347
60,2026-01-05 11:15:58,car,0.758500874042511,482,259,559,362
60,2026-01-05 11:15:58,car,0.6862594485282898,174,87,198,116
60,2026-01-05 11:15:58,car,0.6842761039733887,141,55,162,83
60,2026-01-05 11:15:58,car,0.5225611925125122,303,247,353,348
61,2026-01-05 11:15:58,car,0.750105082988739,478,265,556,368
61,2026-01-05 11:15:58,car,0.6632528901100159,141,55,162,83
61,2026-01-05 11:15:58,car,0.6355762481689453,173,89,197,118
61,2026-01-05 11:15:58,car,0.5263903141021729,303,249,353,350
62,2026-01-05 11:15:58,car,0.7581545114517212,474,268,553,375
62,2026-01-05 11:15:58,car,0.6810029745101929,141,55,162,83
62,2026-01-05 11:15:58,car,0.6696161031723022,173,92,197,121
